accuracy,TP,TN,FP,FN,f1_score,precision,recall,type,,,,accuracy,TP,TN,FP,FN,f1_score,precision,recall,type
0.888888889,24,24,3,3,0.888888889,0.888888889,0.888888889,train,,,,0.722222222,7,6,3,2,0.736842105,0.7,0.777777778,test
0.851851852,24,22,5,3,0.857142857,0.827586207,0.888888889,train,,,,0.777777778,5,9,0,4,0.714285714,1,0.555555556,test
0.833333333,23,22,5,4,0.836363636,0.821428571,0.851851852,train,,,,0.777777778,7,7,2,2,0.777777778,0.777777778,0.777777778,test
0.833333333,23,22,5,4,0.836363636,0.821428571,0.851851852,train,,,,0.5,6,3,6,3,0.571428571,0.5,0.666666667,test
0.833333333,21,24,3,6,0.823529412,0.875,0.777777778,train,,,,0.611111111,7,4,5,2,0.666666667,0.583333333,0.777777778,test
0.796296296,23,20,7,4,0.807017544,0.766666667,0.851851852,train,,,,0.666666667,6,6,3,3,0.666666667,0.666666667,0.666666667,test
0.851851852,22,24,3,5,0.846153846,0.88,0.814814815,train,,,,0.388888889,1,6,3,8,0.153846154,0.25,0.111111111,test
0.833333333,23,22,5,4,0.836363636,0.821428571,0.851851852,train,,,,0.5,4,5,4,5,0.470588235,0.5,0.444444444,test
0.851851852,22,24,3,5,0.846153846,0.88,0.814814815,train,,,,0.777777778,7,7,2,2,0.777777778,0.777777778,0.777777778,test
0.87037037,24,23,4,3,0.872727273,0.857142857,0.888888889,train,,,,0.722222222,7,6,3,2,0.736842105,0.7,0.777777778,test
0.907407407,25,24,3,2,0.909090909,0.892857143,0.925925926,train,,,,0.666666667,6,6,3,3,0.666666667,0.666666667,0.666666667,test
0.888888889,26,22,5,1,0.896551724,0.838709677,0.962962963,train,,,,0.611111111,4,7,2,5,0.533333333,0.666666667,0.444444444,test
0.814814815,23,21,6,4,0.821428571,0.793103448,0.851851852,train,,,,0.444444444,4,4,5,5,0.444444444,0.444444444,0.444444444,test
0.814814815,24,20,7,3,0.827586207,0.774193548,0.888888889,train,,,,0.722222222,7,6,3,2,0.736842105,0.7,0.777777778,test
0.87037037,25,22,5,2,0.877192982,0.833333333,0.925925926,train,,,,0.777777778,7,7,2,2,0.777777778,0.777777778,0.777777778,test
0.962962963,26,26,1,1,0.962962963,0.962962963,0.962962963,train,,,,0.666666667,5,7,2,4,0.625,0.714285714,0.555555556,test
0.888888889,25,23,4,2,0.892857143,0.862068966,0.925925926,train,,,,0.777777778,7,7,2,2,0.777777778,0.777777778,0.777777778,test
0.851851852,24,22,5,3,0.857142857,0.827586207,0.888888889,train,,,,0.666666667,5,7,2,4,0.625,0.714285714,0.555555556,test
