accuracy,TP,TN,FP,FN,f1_score,precision,recall,type,,,,accuracy,TP,TN,FP,FN,f1_score,precision,recall,type
0.888888889,23,25,2,4,0.884615385,0.92,0.851851852,train,,,,0.944444444,9,8,1,0,0.947368421,0.9,1,test
1,27,27,0,0,1,1,1,train,,,,0.944444444,8,9,0,1,0.941176471,1,0.888888889,test
1,27,27,0,0,1,1,1,train,,,,1,9,9,0,0,1,1,1,test
1,27,27,0,0,1,1,1,train,,,,0.888888889,7,9,0,2,0.875,1,0.777777778,test
1,27,27,0,0,1,1,1,train,,,,1,9,9,0,0,1,1,1,test
0.981481481,26,27,0,1,0.981132075,1,0.962962963,train,,,,0.833333333,9,6,3,0,0.857142857,0.75,1,test
1,27,27,0,0,1,1,1,train,,,,0.888888889,7,9,0,2,0.875,1,0.777777778,test
0.981481481,26,27,0,1,0.981132075,1,0.962962963,train,,,,0.944444444,8,9,0,1,0.941176471,1,0.888888889,test
1,27,27,0,0,1,1,1,train,,,,0.888888889,8,8,1,1,0.888888889,0.888888889,0.888888889,test
0.981481481,27,26,1,0,0.981818182,0.964285714,1,train,,,,0.888888889,9,7,2,0,0.9,0.818181818,1,test
0.981481481,27,26,1,0,0.981818182,0.964285714,1,train,,,,1,9,9,0,0,1,1,1,test
1,27,27,0,0,1,1,1,train,,,,0.888888889,7,9,0,2,0.875,1,0.777777778,test
0.962962963,27,25,2,0,0.964285714,0.931034483,1,train,,,,0.944444444,9,8,1,0,0.947368421,0.9,1,test
1,27,27,0,0,1,1,1,train,,,,0.944444444,9,8,1,0,0.947368421,0.9,1,test
1,27,27,0,0,1,1,1,train,,,,0.944444444,8,9,0,1,0.941176471,1,0.888888889,test
0.962962963,26,26,1,1,0.962962963,0.962962963,0.962962963,train,,,,0.888888889,9,7,2,0,0.9,0.818181818,1,test
0.981481481,26,27,0,1,0.981132075,1,0.962962963,train,,,,1,9,9,0,0,1,1,1,test
0.981481481,26,27,0,1,0.981132075,1,0.962962963,train,,,,0.944444444,9,8,1,0,0.947368421,0.9,1,test
0.981481481,26,27,0,1,0.981132075,1,0.962962963,train,,,,0.833333333,9,6,3,0,0.857142857,0.75,1,test
1,27,27,0,0,1,1,1,train,,,,0.944444444,9,8,1,0,0.947368421,0.9,1,test
1,27,27,0,0,1,1,1,train,,,,0.944444444,9,8,1,0,0.947368421,0.9,1,test
0.981481481,26,27,0,1,0.981132075,1,0.962962963,train,,,,0.944444444,9,8,1,0,0.947368421,0.9,1,test
1,27,27,0,0,1,1,1,train,,,,1,9,9,0,0,1,1,1,test
1,27,27,0,0,1,1,1,train,,,,1,9,9,0,0,1,1,1,test
1,27,27,0,0,1,1,1,train,,,,0.944444444,8,9,0,1,0.941176471,1,0.888888889,test
0.981481481,27,26,1,0,0.981818182,0.964285714,1,train,,,,0.944444444,9,8,1,0,0.947368421,0.9,1,test
0.962962963,26,26,1,1,0.962962963,0.962962963,0.962962963,train,,,,1,9,9,0,0,1,1,1,test
0.888888889,25,23,4,2,0.892857143,0.862068966,0.925925926,train,,,,0.944444444,9,8,1,0,0.947368421,0.9,1,test
0.981481481,26,27,0,1,0.981132075,1,0.962962963,train,,,,0.777777778,8,6,3,1,0.8,0.727272727,0.888888889,test
1,27,27,0,0,1,1,1,train,,,,0.944444444,8,9,0,1,0.941176471,1,0.888888889,test
0.981481481,26,27,0,1,0.981132075,1,0.962962963,train,,,,0.944444444,8,9,0,1,0.941176471,1,0.888888889,test
1,27,27,0,0,1,1,1,train,,,,0.944444444,8,9,0,1,0.941176471,1,0.888888889,test
0.981481481,26,27,0,1,0.981132075,1,0.962962963,train,,,,0.944444444,8,9,0,1,0.941176471,1,0.888888889,test
0.981481481,26,27,0,1,0.981132075,1,0.962962963,train,,,,0.944444444,9,8,1,0,0.947368421,0.9,1,test
1,27,27,0,0,1,1,1,train,,,,0.944444444,8,9,0,1,0.941176471,1,0.888888889,test
1,27,27,0,0,1,1,1,train,,,,0.944444444,8,9,0,1,0.941176471,1,0.888888889,test
1,27,27,0,0,1,1,1,train,,,,0.888888889,9,7,2,0,0.9,0.818181818,1,test
0.944444444,27,24,3,0,0.947368421,0.9,1,train,,,,1,9,9,0,0,1,1,1,test
1,27,27,0,0,1,1,1,train,,,,0.944444444,8,9,0,1,0.941176471,1,0.888888889,test
1,27,27,0,0,1,1,1,train,,,,0.944444444,8,9,0,1,0.941176471,1,0.888888889,test
0.962962963,25,27,0,2,0.961538462,1,0.925925926,train,,,,1,9,9,0,0,1,1,1,test
0.962962963,26,26,1,1,0.962962963,0.962962963,0.962962963,train,,,,0.777777778,6,8,1,3,0.75,0.857142857,0.666666667,test
0.944444444,24,27,0,3,0.941176471,1,0.888888889,train,,,,0.944444444,8,9,0,1,0.941176471,1,0.888888889,test
0.981481481,27,26,1,0,0.981818182,0.964285714,1,train,,,,1,9,9,0,0,1,1,1,test
0.981481481,27,26,1,0,0.981818182,0.964285714,1,train,,,,0.888888889,9,7,2,0,0.9,0.818181818,1,test
0.981481481,26,27,0,1,0.981132075,1,0.962962963,train,,,,0.944444444,9,8,1,0,0.947368421,0.9,1,test
1,27,27,0,0,1,1,1,train,,,,1,9,9,0,0,1,1,1,test
0.981481481,27,26,1,0,0.981818182,0.964285714,1,train,,,,0.833333333,8,7,2,1,0.842105263,0.8,0.888888889,test
0.944444444,25,26,1,2,0.943396226,0.961538462,0.925925926,train,,,,0.666666667,4,8,1,5,0.571428571,0.8,0.444444444,test
0.981481481,27,26,1,0,0.981818182,0.964285714,1,train,,,,0.944444444,8,9,0,1,0.941176471,1,0.888888889,test
1,27,27,0,0,1,1,1,train,,,,0.944444444,8,9,0,1,0.941176471,1,0.888888889,test
0.981481481,26,27,0,1,0.981132075,1,0.962962963,train,,,,1,9,9,0,0,1,1,1,test
0.962962963,26,26,1,1,0.962962963,0.962962963,0.962962963,train,,,,0.777777778,7,7,2,2,0.777777778,0.777777778,0.777777778,test
1,27,27,0,0,1,1,1,train,,,,1,9,9,0,0,1,1,1,test
0.981481481,27,26,1,0,0.981818182,0.964285714,1,train,,,,0.944444444,9,8,1,0,0.947368421,0.9,1,test
0.944444444,25,26,1,2,0.943396226,0.961538462,0.925925926,train,,,,0.888888889,8,8,1,1,0.888888889,0.888888889,0.888888889,test
0.981481481,26,27,0,1,0.981132075,1,0.962962963,train,,,,0.944444444,9,8,1,0,0.947368421,0.9,1,test
